日期,設備,清洗時間,殘留檢測,結果
20260101,項目2,2026/1/1,C,項目2
2 Mar 2026,項目3,2026/2/2,項目3,B
20260303,項目1,20260303,項目2,項目3
4 May 2026,項目2,4 May 2026,B,項目1
20260505,項目3,2026-05-05,項目1,C
2026-06-06,C,6 Jan 2026,項目3,A
20260707,項目3,2026/7/7,項目3,C
20260808,C,2026/8/8,項目3,B
2026/9/9,項目2,2026/9/9,C,B
2026/10/10,,20261010,項目2,A
20261111,A,2026/11/11,C,C
12 Jan 2026,C,20261212,項目3,項目3
20260113,A,13 Feb 2026,項目2,項目3
14 Mar 2026,B,2026-02-14,A,項目3
15 Apr 2026,項目1,20260315,C,項目1
16 May 2026,B,2026/4/16,項目1,項目2
2026/5/17,項目2,2026/5/17,項目2,項目3
2026/6/18,項目2,2026-06-18,項目1,項目1
2026/7/19,C,2026/7/19,C,項目3
2026/8/20,項目2,20260820,C,項目3
2026/9/21,B,2026/9/21,項目1,C
2026-10-22,項目2,2026/10/22,項目2,項目1
2026/11/23,項目1,20261123,C,項目2
2026-12-24,項目1,2026/12/24,A,項目3
2026-01-25,A,2026-01-25,C,A
2026-02-26,A,26 Mar 2026,C,C
2026/3/27,A,2026-03-27,B,項目1
2026/4/28,項目2,2026-04-28,項目3,項目2
2026-05-01,C,2026/5/1,C,項目1
2026-06-02,項目2,2 Jan 2026,項目2,項目2
20260703,C,3 Feb 2026,B,A
4 Mar 2026,項目2,20260804,項目3,項目3
2026-09-05,B,2026/9/5,C,C
6 May 2026,項目3,2026-10-06,項目1,項目1
2026/11/7,A,7 Jun 2026,C,項目1
20261208,項目1,20261208,項目1,C
2026/1/9,項目3,9 Feb 2026,C,C
2026/2/10,B,10 Mar 2026,C,項目3
20260311,項目3,20260311,項目3,A
12 May 2026,A,12 May 2026,B,C
2026-05-13,項目2,2026-05-13,項目1,C
14 Jan 2026,A,20260614,A,項目3
20260715,A,20260715,A,項目2
2026-08-16,C,20260816,A,項目1
2026-09-17,項目3,20260917,C,項目2
20261018,項目3,2026/10/18,A,C
2026-11-19,項目2,2026-11-19,項目2,項目1
2026/12/20,A,20261220,項目2,項目3
21 Feb 2026,項目2,2026/1/21,A,A
2026-02-22,項目3,22 Mar 2026,項目2,項目2
20260323,B,20260323,A,A
2026-04-24,A,2026/4/24,項目3,項目1
2026/5/25,項目3,20260525,B,項目3
2026-06-26,項目2,20260626,項目2,A
20260727,項目1,27 Feb 2026,C,項目2
28 Mar 2026,C,28 Mar 2026,C,B
20260901,B,2026/9/1,B,項目2
2 May 2026,項目3,2 May 2026,C,項目2
3 Jun 2026,B,20261103,項目1,項目1
20261204,項目3,20261204,項目2,項目2
5 Feb 2026,C,2026-01-05,項目3,C
20260206,項目3,6 Mar 2026,B,項目3
2026-03-07,項目2,7 Apr 2026,C,B
2026-04-08,C,2026-04-08,項目2,A
20260509,項目1,9 Jun 2026,B,項目1
20260610,項目2,10 Jan 2026,項目1,B
20260711,A,11 Feb 2026,項目1,A
20260812,項目2,12 Mar 2026,C,項目2
13 Apr 2026,項目1,20260913,項目2,項目2
2026/10/14,項目3,14 May 2026,B,A
2026-11-15,項目3,15 Jun 2026,A,項目3
2026-12-16,C,2026-12-16,B,B
2026/1/17,項目3,2026/1/17,C,項目2
18 Mar 2026,項目2,20260218,A,C
2026/3/19,項目3,19 Apr 2026,項目2,項目2
20 May 2026,項目1,2026/4/20,C,C
20260521,項目1,21 Jun 2026,,項目2
20260622,C,20260622,B,項目2
20260723,項目3,2026/7/23,,A
24 Mar 2026,項目2,20260824,項目3,項目2
2026-09-25,項目3,2026/9/25,項目1,項目1
26 May 2026,B,20261026,項目3,項目2
27 Jun 2026,C,20261127,B,項目1
20261228,C,28 Jan 2026,A,項目2
1 Feb 2026,B,2026/1/1,C,項目3
2 Mar 2026,B,2026/2/2,B,項目1
2026-03-03,A,,項目1,項目2
2026-04-04,項目1,2026-04-04,C,項目2
2026/5/5,項目3,5 Jun 2026,項目3,項目1
20260606,項目3,2026/6/6,A,A
2026/7/7,B,20260707,C,A
2026-08-08,B,2026/8/8,項目2,A
2026-09-09,項目1,9 Apr 2026,項目2,項目2
2026/10/10,C,2026/10/10,項目1,C
2026-11-11,A,2026/11/11,項目1,項目2
2026-12-12,項目2,2026-12-12,B,項目3
13 Feb 2026,A,20260113,項目1,B
14 Mar 2026,A,2026/2/14,C,C
20260315,B,2026/3/15,項目1,項目2
2026/4/16,項目2,2026-04-16,B,A
2026/5/17,項目3,2026/5/17,B,項目3
2026-06-18,A,2026-06-18,項目2,B
2026/7/19,C,19 Feb 2026,項目3,B
20 Mar 2026,B,20260820,項目2,項目2
21 Apr 2026,項目3,2026-09-21,項目3,項目3
20261022,項目1,22 May 2026,A,項目1
20261123,B,20261123,項目2,項目2
2026/12/24,項目1,20261224,項目1,C
2026-01-25,項目2,25 Feb 2026,C,C
2026-02-26,B,26 Mar 2026,項目3,A
2026/3/27,C,2026-03-27,B,項目3
,B,2026/4/28,項目3,項目1
2026-05-01,,1 Jun 2026,項目2,A
20260602,C,2 Jan 2026,A,A
2026-07-03,A,20260703,B,B
4 Mar 2026,C,2026-08-04,項目1,B
2026/9/5,項目1,2026/9/5,B,項目1
2026/10/6,項目3,2026/10/6,項目3,A
20261107,C,2026-11-07,項目1,項目1
8 Jan 2026,項目2,2026-12-08,A,C
20260711,A,11 Feb 2026,項目1,A
